player,market,line
Jared Goff,passing_yards,252.5
Jordan Love,passing_yards,249.5
Sam LaPorta,receiving_yards,34.5
Amon-Ra St. Brown,receiving_yards,94.5
Christian Watson,receiving_yards,34.5
Tucker Kraft,receiving_yards,34.5
Jayden Reed,receiving_yards,49.5
David Montgomery,receiving_yards,14.5
Jameson Williams,receiving_yards,49.5
Tim Patrick,receiving_yards,29.5
Josh Jacobs,receiving_yards,29.5
Jahmyr Gibbs,receiving_yards,20.5
Dontayvion Wicks,receiving_yards,39.5
David Montgomery,rushing_yards,59.5
Jahmyr Gibbs,rushing_yards,64.5
Josh Jacobs,rushing_yards,69.5
Jordan Love,rushing_yards,5.5
