player_display_name,position,team,opponent_team,stat,pp_line,player_id,player_name,season,week,completions,attempts,passing_yards,passing_tds,interceptions,sacks,carries,rushing_yards,rushing_tds,receptions,targets,receiving_yards,receiving_tds,receiving_air_yards,target_share,wopr,fantasy_points,opponent_team,pp_delta,team_long,spread,over_under
Brock Purdy,QB,SF,CAR,passing_yards,253.5,00-0037834,B.Purdy,2022.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,-0.1,CAR,-253.5,49ers,-3.5,47.5
Brock Purdy,QB,SF,KC,passing_yards,253.5,00-0037834,B.Purdy,2022.0,7.0,4.0,9.0,66.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.74,KC,-187.5,49ers,-3.5,47.5
Brock Purdy,QB,SF,ARI,passing_yards,253.5,00-0037834,B.Purdy,2022.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.3,ARI,-253.5,49ers,-3.5,47.5
Brock Purdy,QB,SF,MIA,passing_yards,253.5,00-0037834,B.Purdy,2022.0,13.0,25.0,37.0,210.0,2.0,1.0,3.0,4.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,14.3,MIA,-43.5,49ers,-3.5,47.5
Brock Purdy,QB,SF,TB,passing_yards,253.5,00-0037834,B.Purdy,2022.0,14.0,16.0,21.0,185.0,2.0,0.0,0.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,,,21.7,TB,-68.5,49ers,-3.5,47.5
Brock Purdy,QB,SF,SEA,passing_yards,253.5,00-0037834,B.Purdy,2022.0,15.0,17.0,26.0,217.0,2.0,0.0,1.0,4.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,,,16.48,SEA,-36.5,49ers,-3.5,47.5
Brock Purdy,QB,SF,WAS,passing_yards,253.5,00-0037834,B.Purdy,2022.0,16.0,15.0,22.0,234.0,2.0,1.0,3.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,,,15.96,WAS,-19.5,49ers,-3.5,47.5
Brock Purdy,QB,SF,LV,passing_yards,253.5,00-0037834,B.Purdy,2022.0,17.0,22.0,35.0,284.0,2.0,1.0,0.0,2.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,,,17.06,LV,30.5,49ers,-3.5,47.5
Brock Purdy,QB,SF,ARI,passing_yards,253.5,00-0037834,B.Purdy,2022.0,18.0,15.0,20.0,178.0,3.0,0.0,4.0,4.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,,,19.82,ARI,-75.5,49ers,-3.5,47.5
Brock Purdy,QB,SF,SEA,passing_yards,253.5,00-0037834,B.Purdy,2022.0,19.0,18.0,30.0,332.0,3.0,0.0,1.0,4.0,16.0,1.0,0.0,0.0,0.0,0.0,0.0,,,34.88,SEA,78.5,49ers,-3.5,47.5
