team,home_away,week_opponent,spread,over_under
Lions,TRUE,Packers,-3.5,51.5
Packers,FALSE,Lions,3.5,51.5
Falcons,FALSE,Vikings,5.5,45.5
Vikings,TRUE,Falcons,-5.5,45.5
Panthers,FALSE,Eagles,12.5,46
Eagles,TRUE,Panthers,-12.5,46
Browns,FALSE,Steelers,6.5,44.5
Steelers,TRUE,Browns,-6.5,44.5
Jaguars,FALSE,Titans,3.5,39.5
Titans,TRUE,Jaguars,-3.5,39.5
Raiders,FALSE,Buccaneers,6.5,46
Buccaneers,TRUE,Raiders,-6.5,46
Dolphins,TRUE,Jets,-6,45
Jets,FALSE,Dolphins,6,45
Saints,FALSE,Giants,-4.5,41
Giants,TRUE,Saints,4.5,41
Cardinals,TRUE,Seahawks,-2.5,44.5
Seahawks,FALSE,Cardinals,2.5,44.5
Bills,FALSE,Rams,-4.5,49.5
Rams,TRUE,Bills,4.5,49.5
Bears,FALSE,49ers,4,44
49ers,TRUE,Bears,-4,44
Chiefs,TRUE,Chargers,-4,43
Chargers,FALSE,Chiefs,4,43
Bengals,FALSE,Cowboys,-5.5,49.5
Cowboys,TRUE,Bengals,5.5,49.5
