player,market,ud_line,br_line,team,team_long,opponent_team,spread,over_under,week,opponent_team,completions,attempts,passing_yards,passing_tds,carries,rushing_yards,rushing_tds,receptions,targets,receiving_yards,receiving_tds,target_share,air_yards_share,fantasy_points,fantasy_points_ppr,ud_delta,br_delta
Patrick Mahomes,passing_yards,251.5,239.5,KC,Chiefs,BAL,-1.5,49.0,1.0,BAL,20.0,28.0,291.0,1.0,2.0,3.0,0.0,1.0,1.0,2.0,0.0,0.037037037,-0.00625,14.14,15.14,39.5,51.5
Patrick Mahomes,passing_yards,251.5,239.5,KC,Chiefs,CIN,-1.5,49.0,2.0,CIN,18.0,25.0,151.0,2.0,4.0,29.0,0.0,0.0,0.0,0.0,0.0,,,12.94,12.94,-100.5,-88.5
Patrick Mahomes,passing_yards,251.5,239.5,KC,Chiefs,ATL,-1.5,49.0,3.0,ATL,26.0,39.0,217.0,2.0,6.0,17.0,0.0,0.0,0.0,0.0,0.0,,,16.38,16.38,-34.5,-22.5
Patrick Mahomes,passing_yards,251.5,239.5,KC,Chiefs,LAC,-1.5,49.0,4.0,LAC,19.0,29.0,245.0,1.0,5.0,12.0,0.0,0.0,0.0,0.0,0.0,,,13.0,13.0,-6.5,5.5
Patrick Mahomes,passing_yards,251.5,239.5,KC,Chiefs,NO,-1.5,49.0,5.0,NO,28.0,39.0,331.0,0.0,6.0,22.0,0.0,0.0,0.0,0.0,0.0,,,13.44,13.44,79.5,91.5
Patrick Mahomes,passing_yards,251.5,239.5,KC,Chiefs,SF,-1.5,49.0,7.0,SF,16.0,27.0,154.0,0.0,5.0,39.0,1.0,0.0,0.0,0.0,0.0,,,12.06,12.06,-97.5,-85.5
Patrick Mahomes,passing_yards,251.5,239.5,KC,Chiefs,LV,-1.5,49.0,8.0,LV,27.0,38.0,262.0,2.0,6.0,17.0,0.0,0.0,0.0,0.0,0.0,,,18.18,18.18,10.5,22.5
Patrick Mahomes,passing_yards,251.5,239.5,KC,Chiefs,TB,-1.5,49.0,9.0,TB,34.0,44.0,291.0,3.0,2.0,9.0,0.0,0.0,0.0,0.0,0.0,,,24.54,24.54,39.5,51.5
Patrick Mahomes,passing_yards,251.5,239.5,KC,Chiefs,DEN,-1.5,49.0,10.0,DEN,28.0,42.0,266.0,1.0,3.0,19.0,0.0,0.0,0.0,0.0,0.0,,,16.54,16.54,14.5,26.5
Patrick Mahomes,passing_yards,251.5,239.5,KC,Chiefs,BUF,-1.5,49.0,11.0,BUF,23.0,33.0,196.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,15.84,15.84,-55.5,-43.5
Patrick Mahomes,passing_yards,251.5,239.5,KC,Chiefs,CAR,-1.5,49.0,12.0,CAR,27.0,37.0,269.0,3.0,5.0,60.0,0.0,0.0,0.0,0.0,0.0,,,28.76,28.76,17.5,29.5
Patrick Mahomes,passing_yards,251.5,239.5,KC,Chiefs,LV,-1.5,49.0,13.0,LV,26.0,46.0,306.0,1.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,,,16.64,16.64,54.5,66.5
Patrick Mahomes,passing_yards,251.5,239.5,KC,Chiefs,LAC,-1.5,49.0,14.0,LAC,24.0,37.0,210.0,1.0,4.0,17.0,0.0,0.0,0.0,0.0,0.0,,,14.1,14.1,-41.5,-29.5
Patrick Mahomes,passing_yards,251.5,239.5,KC,Chiefs,CLE,-1.5,49.0,15.0,CLE,19.0,38.0,159.0,2.0,2.0,14.0,0.0,0.0,0.0,0.0,0.0,,,15.76,15.76,-92.5,-80.5
Patrick Mahomes,passing_yards,251.5,239.5,KC,Chiefs,HOU,-1.5,49.0,16.0,HOU,28.0,41.0,260.0,1.0,5.0,33.0,1.0,0.0,0.0,0.0,0.0,,,23.7,23.7,8.5,20.5
Patrick Mahomes,passing_yards,251.5,239.5,KC,Chiefs,PIT,-1.5,49.0,17.0,PIT,29.0,38.0,320.0,3.0,1.0,12.0,0.0,0.0,0.0,0.0,0.0,,,26.0,26.0,68.5,80.5
Patrick Mahomes,passing_yards,251.5,239.5,KC,Chiefs,HOU,-1.5,49.0,20.0,HOU,16.0,25.0,177.0,1.0,7.0,14.0,0.0,0.0,0.0,0.0,0.0,,,12.48,12.48,-74.5,-62.5
Patrick Mahomes,passing_yards,251.5,239.5,KC,Chiefs,BUF,-1.5,49.0,21.0,BUF,18.0,26.0,245.0,1.0,11.0,43.0,2.0,0.0,0.0,0.0,0.0,,,30.1,30.1,-6.5,5.5
