player,team,position,spread,over_under,market,ud_line,pp_line,season,week,season_type,opponent_team,completions,attempts,passing_yards,passing_tds,interceptions,sacks,passing_yards_after_catch,passing_first_downs,passing_epa,passing_2pt_conversions,pacr,dakota,carries,rushing_yards,rushing_tds,rushing_first_downs,rushing_epa,receptions,targets,receiving_yards,receiving_tds,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,racr,target_share,air_yards_share,wopr,fantasy_points,team_long
Lamar Jackson,BAL,QB,-6.0,53.0,passing_yards,232.5,234.5,2024.0,1.0,REG,KC,26.0,41.0,273.0,1.0,0.0,1.0,166.0,11.0,-2.4911597,0.0,1.0224719,0.028632868,16.0,122.0,0.0,7.0,5.008222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,25.12,Ravens
Lamar Jackson,BAL,QB,-6.0,53.0,passing_yards,232.5,234.5,2024.0,2.0,REG,LV,21.0,34.0,247.0,1.0,1.0,2.0,99.0,14.0,0.9536016,0.0,0.8636364,0.046322435,5.0,45.0,0.0,0.0,-0.54183626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,16.38,Ravens
Lamar Jackson,BAL,QB,-6.0,53.0,passing_yards,232.5,234.5,2024.0,3.0,REG,DAL,12.0,15.0,182.0,1.0,0.0,0.0,151.0,8.0,10.670858,0.0,3.8723404,0.2728274,14.0,87.0,1.0,6.0,6.8294754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,25.98,Ravens
Lamar Jackson,BAL,QB,-6.0,53.0,passing_yards,232.5,234.5,2024.0,4.0,REG,BUF,13.0,18.0,156.0,2.0,0.0,1.0,92.0,9.0,9.182409,0.0,1.3565217,0.23637255,6.0,54.0,1.0,2.0,0.07575719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,23.64,Ravens
Lamar Jackson,BAL,QB,-6.0,53.0,passing_yards,232.5,234.5,2024.0,5.0,REG,CIN,26.0,42.0,348.0,4.0,0.0,1.0,166.0,18.0,21.248209,0.0,0.91099477,0.15062843,12.0,55.0,0.0,1.0,-6.307046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,33.42,Ravens
Lamar Jackson,BAL,QB,-6.0,53.0,passing_yards,232.5,234.5,2024.0,6.0,REG,WAS,20.0,26.0,323.0,1.0,1.0,2.0,149.0,16.0,11.001632,0.0,1.2568094,0.2981372,11.0,40.0,0.0,3.0,-3.4764273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,18.92,Ravens
Lamar Jackson,BAL,QB,-6.0,53.0,passing_yards,232.5,234.5,2024.0,7.0,REG,TB,17.0,22.0,281.0,5.0,0.0,2.0,140.0,12.0,25.117044,0.0,1.5271739,0.33601585,9.0,52.0,0.0,3.0,-3.799993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,34.44,Ravens
Lamar Jackson,BAL,QB,-6.0,53.0,passing_yards,232.5,234.5,2024.0,8.0,REG,CLE,23.0,38.0,289.0,2.0,0.0,3.0,132.0,14.0,7.565712,0.0,0.76455027,0.139619,8.0,46.0,0.0,2.0,0.0028591552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,24.16,Ravens
Lamar Jackson,BAL,QB,-6.0,53.0,passing_yards,232.5,234.5,2024.0,9.0,REG,DEN,16.0,19.0,280.0,3.0,0.0,1.0,139.0,12.0,19.339016,0.0,1.8666667,0.37864727,3.0,4.0,0.0,1.0,-0.9145729,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,23.6,Ravens
Lamar Jackson,BAL,QB,-6.0,53.0,passing_tds,1.5,2.0,2024.0,1.0,REG,KC,26.0,41.0,273.0,1.0,0.0,1.0,166.0,11.0,-2.4911597,0.0,1.0224719,0.028632868,16.0,122.0,0.0,7.0,5.008222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,25.12,Ravens
Lamar Jackson,BAL,QB,-6.0,53.0,passing_tds,1.5,2.0,2024.0,2.0,REG,LV,21.0,34.0,247.0,1.0,1.0,2.0,99.0,14.0,0.9536016,0.0,0.8636364,0.046322435,5.0,45.0,0.0,0.0,-0.54183626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,16.38,Ravens
Lamar Jackson,BAL,QB,-6.0,53.0,passing_tds,1.5,2.0,2024.0,3.0,REG,DAL,12.0,15.0,182.0,1.0,0.0,0.0,151.0,8.0,10.670858,0.0,3.8723404,0.2728274,14.0,87.0,1.0,6.0,6.8294754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,25.98,Ravens
Lamar Jackson,BAL,QB,-6.0,53.0,passing_tds,1.5,2.0,2024.0,4.0,REG,BUF,13.0,18.0,156.0,2.0,0.0,1.0,92.0,9.0,9.182409,0.0,1.3565217,0.23637255,6.0,54.0,1.0,2.0,0.07575719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,23.64,Ravens
Lamar Jackson,BAL,QB,-6.0,53.0,passing_tds,1.5,2.0,2024.0,5.0,REG,CIN,26.0,42.0,348.0,4.0,0.0,1.0,166.0,18.0,21.248209,0.0,0.91099477,0.15062843,12.0,55.0,0.0,1.0,-6.307046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,33.42,Ravens
Lamar Jackson,BAL,QB,-6.0,53.0,passing_tds,1.5,2.0,2024.0,6.0,REG,WAS,20.0,26.0,323.0,1.0,1.0,2.0,149.0,16.0,11.001632,0.0,1.2568094,0.2981372,11.0,40.0,0.0,3.0,-3.4764273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,18.92,Ravens
Lamar Jackson,BAL,QB,-6.0,53.0,passing_tds,1.5,2.0,2024.0,7.0,REG,TB,17.0,22.0,281.0,5.0,0.0,2.0,140.0,12.0,25.117044,0.0,1.5271739,0.33601585,9.0,52.0,0.0,3.0,-3.799993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,34.44,Ravens
Lamar Jackson,BAL,QB,-6.0,53.0,passing_tds,1.5,2.0,2024.0,8.0,REG,CLE,23.0,38.0,289.0,2.0,0.0,3.0,132.0,14.0,7.565712,0.0,0.76455027,0.139619,8.0,46.0,0.0,2.0,0.0028591552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,24.16,Ravens
Lamar Jackson,BAL,QB,-6.0,53.0,passing_tds,1.5,2.0,2024.0,9.0,REG,DEN,16.0,19.0,280.0,3.0,0.0,1.0,139.0,12.0,19.339016,0.0,1.8666667,0.37864727,3.0,4.0,0.0,1.0,-0.9145729,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,23.6,Ravens
Lamar Jackson,BAL,QB,-6.0,53.0,pass+rush_yards,287.5,288.5,2024.0,1.0,REG,KC,26.0,41.0,273.0,1.0,0.0,1.0,166.0,11.0,-2.4911597,0.0,1.0224719,0.028632868,16.0,122.0,0.0,7.0,5.008222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,25.12,Ravens
Lamar Jackson,BAL,QB,-6.0,53.0,pass+rush_yards,287.5,288.5,2024.0,2.0,REG,LV,21.0,34.0,247.0,1.0,1.0,2.0,99.0,14.0,0.9536016,0.0,0.8636364,0.046322435,5.0,45.0,0.0,0.0,-0.54183626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,16.38,Ravens
Lamar Jackson,BAL,QB,-6.0,53.0,pass+rush_yards,287.5,288.5,2024.0,3.0,REG,DAL,12.0,15.0,182.0,1.0,0.0,0.0,151.0,8.0,10.670858,0.0,3.8723404,0.2728274,14.0,87.0,1.0,6.0,6.8294754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,25.98,Ravens
Lamar Jackson,BAL,QB,-6.0,53.0,pass+rush_yards,287.5,288.5,2024.0,4.0,REG,BUF,13.0,18.0,156.0,2.0,0.0,1.0,92.0,9.0,9.182409,0.0,1.3565217,0.23637255,6.0,54.0,1.0,2.0,0.07575719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,23.64,Ravens
Lamar Jackson,BAL,QB,-6.0,53.0,pass+rush_yards,287.5,288.5,2024.0,5.0,REG,CIN,26.0,42.0,348.0,4.0,0.0,1.0,166.0,18.0,21.248209,0.0,0.91099477,0.15062843,12.0,55.0,0.0,1.0,-6.307046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,33.42,Ravens
Lamar Jackson,BAL,QB,-6.0,53.0,pass+rush_yards,287.5,288.5,2024.0,6.0,REG,WAS,20.0,26.0,323.0,1.0,1.0,2.0,149.0,16.0,11.001632,0.0,1.2568094,0.2981372,11.0,40.0,0.0,3.0,-3.4764273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,18.92,Ravens
Lamar Jackson,BAL,QB,-6.0,53.0,pass+rush_yards,287.5,288.5,2024.0,7.0,REG,TB,17.0,22.0,281.0,5.0,0.0,2.0,140.0,12.0,25.117044,0.0,1.5271739,0.33601585,9.0,52.0,0.0,3.0,-3.799993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,34.44,Ravens
Lamar Jackson,BAL,QB,-6.0,53.0,pass+rush_yards,287.5,288.5,2024.0,8.0,REG,CLE,23.0,38.0,289.0,2.0,0.0,3.0,132.0,14.0,7.565712,0.0,0.76455027,0.139619,8.0,46.0,0.0,2.0,0.0028591552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,24.16,Ravens
