player,team,position,spread,over_under,stat,etr_proj,etr_delta,ud_line,pp_line,ud_delta,pp_delta,season,week,season_type,opponent_team,completions,attempts,passing_yards,passing_tds,interceptions,sacks,passing_yards_after_catch,passing_first_downs,passing_epa,passing_2pt_conversions,pacr,dakota,carries,rushing_yards,rushing_tds,rushing_first_downs,rushing_epa,receptions,targets,receiving_yards,receiving_tds,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,racr,target_share,air_yards_share,wopr,fantasy_points,team_long
Lamar Jackson,BAL,QB,-9.5,42,passing_yards,236.09,-67.09,231.5,250.5,-62.5,-81.5,2023,1,REG,HOU,17,22,169,0,1,4,84,8,-4.415663,0,1.6568627,0.09615595,6,38,0,3,1.4454559,0,0,0,0,0,0,0,,,,,,6.56,Ravens
Lamar Jackson,BAL,QB,-9.5,42,passing_yards,236.09,0.91,231.5,250.5,5.5,-13.5,2023,2,REG,CIN,24,33,237,2,0,0,78,12,12.392854,0,0.79,0.17210026,12,54,0,3,-1.2977396,0,0,0,0,0,0,0,,,,,,22.88,Ravens
Lamar Jackson,BAL,QB,-9.5,42,passing_yards,236.09,-34.09,231.5,250.5,-29.5,-48.5,2023,3,REG,IND,22,31,202,0,0,4,92,7,-7.251347,0,1.0150753,0.07012126,14,101,2,8,7.7871084,0,0,0,0,0,0,0,,,,,,28.18,Ravens
Lamar Jackson,BAL,QB,-9.5,42,passing_yards,236.09,-50.09,231.5,250.5,-45.5,-64.5,2023,4,REG,CLE,15,19,186,2,0,3,85,8,6.872493,0,1.55,0.20100193,9,27,2,3,-2.3546202,0,0,0,0,0,0,0,,,,,,28.14,Ravens
Lamar Jackson,BAL,QB,-9.5,42,passing_yards,236.09,-0.09,231.5,250.5,4.5,-14.5,2023,5,REG,PIT,22,38,236,0,1,4,68,11,-13.225237,0,0.5592417,0.00743018,6,45,0,1,0.618271,0,0,0,0,0,0,0,,,,,,9.94,Ravens
Lamar Jackson,BAL,QB,-9.5,42,passing_yards,236.09,-13.09,231.5,250.5,-8.5,-27.5,2023,6,REG,TEN,21,30,223,1,1,1,123,9,5.846638,0,0.98237884,0.13855729,13,62,0,5,0.35780594,0,0,0,0,0,0,0,,,,,,17.12,Ravens
Lamar Jackson,BAL,QB,-9.5,42,passing_yards,236.09,120.91,231.5,250.5,125.5,106.5,2023,7,REG,DET,21,27,357,3,0,0,195,15,25.262836,0,1.6153846,0.30586916,9,36,1,3,-1.2632439,0,0,0,0,0,0,0,,,,,,33.88,Ravens
Lamar Jackson,BAL,QB,-9.5,42,passing_yards,236.09,-79.09,231.5,250.5,-74.5,-93.5,2023,8,REG,ARI,18,27,157,1,0,4,85,8,-4.98437,0,0.98125,0.029383933,5,17,0,1,-1.9565253,0,0,0,0,0,0,0,,,,,,11.98,Ravens
Lamar Jackson,BAL,QB,-9.5,42,passing_yards,236.09,-49.09,231.5,250.5,-44.5,-63.5,2023,9,REG,SEA,21,26,187,0,0,1,69,8,-3.1819174,0,0.7991453,0.14550714,10,60,0,5,3.3439221,0,0,0,0,0,0,0,,,,,,11.48,Ravens
Lamar Jackson,BAL,QB,-9.5,42,passing_yards,236.09,-13.09,231.5,250.5,-8.5,-27.5,2023,10,REG,CLE,13,23,223,1,2,3,116,9,-5.893444,0,0.9291667,0.039433826,8,41,0,1,-1.1692746,0,0,0,0,0,0,0,,,,,,13.02,Ravens
